LONC,LATC,CITY,,,,,
24,55,Kowno,,,,,
25.3,54.7,Wilna,,,,,
26.4,54.4,Smorgoni,,,,224,1100
26.8,54.3,Molodexno,,,,506,1094
27.7,55.2,Gloubokoe,,,,528,1088
27.6,53.9,Minsk,,,,536,1086
28.5,54.3,Studienska,,,,554,1104
28.7,55.5,Polotzk,,,,552,1078
29.2,54.4,Bobr,,,,570,1086
30.2,55.3,Witebsk,,,,574,1110
30.4,54.5,Orscha,,,,584,1088
30.4,53.9,Mohilow,,,,604,1106
32,54.8,Smolensk,,,,,
33.2,54.9,Dorogobouge,,,,,
34.3,55.2,Wixma,,,,,
34.4,55.5,Chjat,,,,,
36,55.5,Mojaisk,,,,,
37.6,55.8,Moscou,,,,,
36.6,55.3,Tarantino,,,,,
36.5,55,Malo-jarosewli,,,,,
